aal ale
ab detersschreckt
abbild image
abbildung illustration
abbrechen abort
abbrechend aborting
abend evening
abende evenings
abendessen supper
abenteuer adventure
abenteuerlich adventurous
aber but
aberglaeubisch superstitious
aberglaube superstition
abfaelle clippings
abfahrt departure
abfall declension
abfassen indite
abfassend inditing
abfindungen gratuities
abflachen flatten
abflussrohr spout
abfrage inquiry
abfragen inquire
abfuehren discharge
abfuehrend laxativ
abgabe tribute
abgaben tributes
abgebildet mapped
abgebrochen aborted
abgedroschen hackneyed
abgefasst indited
abgefragt prompted
abgegossen decanted
abgegrast grazed
abgehalten detained
abgeirrt strayed
abgekuerzte abbreviated
abgelegen remote
abgelegt discarded
abgelehnt deprecated
abgeleitet deduced
abgelenkt deflected
abgeleugnet abnegated
abgeloest redeemed
abgeneigt averse
abgenommen waned
abgeprallt rebounded
abgerackert fagged
abgeraten dissuaded
abgereist departed
abgerieben towelled
abgesahnt skimmed
abgeschafft abolished
abgeschiedenheit seclusion
abgeschirmt shielded
abgeschnallt unstrapped
abgeschnitten cropped
abgeschoben deported
abgeschraegt canted
abgeschreckt deterred
abgeschwaecht extenuated
abgeschweift digressed
abgesetzt degradet
abgesondert isolated
abgestimmt attuned
abgestuerzt crashed
abgestuft graduated
abgestumpft deadened
abgewaehlte deselected
abgewandt averted
abgewartet bided
abgewehrt fended
abgewertet devalued
abgewickelt liquidated
abgewiesen repulsed
abgezielt tended
abgezogen deducted
abgiessen decant
abgiessend decanting
abgott idol
abgrasen graze
abgrasend grazing
abgreagieren abreact
abgruende abysses
abgrund abyss
abhacken chopp
abhaenge declivities
abhaengen depend
abhaengig dependent
abhaengige dependants
abhaengiger dependant
abhalten detain
abhaltend detainig
abhandlung treatise
abhandlungen treatises
abhang declivity
abirren stray
abirrend straying
abkommen agreement
abkuerzen abbreviate
abkuerzung abbreviation
abkuerzungen abbreviations
ablage deposit
ablagen depositions
ablagerung deposit
ablagerungen sediments
ablassen drain
ablaufverfolgung backtrace
ablegend depositing
ablehnen deprecate
ablehnend deprecating
ablehnung refusals
ablehnungshinweis disclaimer
ableiten derivate
ableitend deducing
ableitung deduction
ableitungen derivations
ablenken distract
ablenkend deflecting
ableugnen abnegate
abloesen unsolder
abloesend unsoldering
abnehmbar detachable
abnehmen wane
abnehmend waning
abneigung antipathy
abneigungen antipathies
abnutzung fading
abprallen recoil
abprallend rebounding
abrackern fag
abrackernd fagging
abraten dissuade
abratend dissuading
abreagierend abreacting
abreagiert abreacted
abreibend towelling
abreise departure
abreisen depart
abreisend departing
abrufen fetch
absahnen skim
absahnend skimming
absatz heel
abschaffen abolish
abschaffend abolishing
abscheu abhorrence
abscheulich abhorrent
abschieben deport
abschiebend deporting
abschied valediction
abschliessend final
abschnallen unstrap
abschnallend unstrapping
abschneiden clipping
abschneidend cutting
abschnitt chapter
abschrecken deter
abschreckend deterrent
abschreibend transcribing
abschrift transcript
abschriften transcriptions
abschwaechen extenuate
abschwaechend extenuating
abschweifen digress
abschweifend excursive
abseits offside
absender sender
absetzung degradation
absetzungen degradations
absicht intention
absichten intentions
absichtlich intentional
absolut absolute
absondern excude
absondernd isolating
absonderung isolation
abspeicherungen savings
abstaende distances
abstammung ancestory
abstammungen lineages
abstand displacement
abstandsstueck spacer
absteigend descending
abstieg descend
abstiege descents
abstimmbar tuneable
abstimmen tune
abstimmend coordinating
abstimmung ballot
abstinenzler teetotaler
abstossend forbidding
abstrahlend beaming
abstrakt abstractly
abstreifen wipe
abstuerze crashes
abstufen graduate
abstufend graduating
abstufung gradation
abstufungen gradations
abstumpfen deaden
abstumpfend deadening
abteil compartment
abteilung compartment
abteilungen compartments
abtrennen detach
abtretung cession
abtretungen cessions
abtrieb output
abtruennige renegades
abtruenniger renegade
abwaehlen deselect
abwaesser sewages
abwandeln variegate
abwarten bide
abwasser sewage
abwechselnd alternately
abwegig devious
abwehren fend
abwehrend fending
abweichen differ
abweichend dissonant
abweichung aberration
abweichungen deviations
abweisen repulse
abweisend denying
abwenden avert
abwendend averting
abwerten devalue
abwertend devaluing
abwertung devaluation
abwertungen devaluations
abwesend absent
abwesenheit absence
abwesenheiten absences
abwickeln liquidate
abwickelnd transacting
abwicklung liquidation
abzeichen badge
abziehen deduct
abziehend deducting
abzielen tend
abzielend tending
abzuege deductions
abzug discount
abzweigen offset
achse axis
achsen axes
acht eight
achtbar creditable
achte eighth
achtend esteeming
achtet esteems
achtsam observant
achtzehn eighteen
achtzehnte eighteenth
achtzig eighty
ackerbau tillage
adapter adapter
addition addition
adel nobility
adler eagle
adlige noblemen
adliger nobleman
adresse address
adressen addresses
adressierbarkeit addressability
adressierend addressing
adressiert addressed
aehnlich likewise
aehnlichkeit likeness
aehnlichkeiten resemblances
aelter older
aelteste oldest
aeltlich oldish
aenderbare changeable
aendern alter
aendernd altering
aendert changes
aenderung modification
aenderungen alterations
aengste anxieties
aengstlich anxious
aepfel apples
aequator equator
aerger chagrin
aergerlich angrily
aergerlicher angrier
aergerlichste angriest
aergern bother
aergernd fretting
aergert galls
aermel sleeve
aermer needier
aermste neediest
aerzte physicians
aerztlich medically
aeste boughs
aeussernd uttering
aeusserst utmost
aeussert utters
aeusserung utterance
aeusserungen utterances
affe ape
affen apes
affig apish
afrikanisch african
agent agent
agentur agency
agenturen agencies
ahnen forebode
ahnend foreboding
ahorn maple
akkord chord
akkorde chords
aktentasche briefcase
aktion action
aktionaer shareholder
aktionaere shareholders
aktionen actions
aktiv actively
aktive active
aktivieren activate
aktiviert activates
aktivierte activated
aktivierung activation
aktivitaet activity
aktivitaeten activities
aktualisiert updated
aktualisierung updating
aktualitaet actuality
aktuell actually
aktuelle actual
akustik acoustic
akzent accent
alarm alarm
albern fatuous
algorithmen algorithms
algorithmus algorithm
alkohol booze
alkoholisch spirituous
alkoholische alcoholic
alle all
allein alone
alleine alone
alles everything
allgegenwaertig ubiquitous
allgemein abstract
allgemeinheit universality
allgemeinheiten universalities
allmacht omnipotence
allmaehlich gradually
alltag workaday
allumfassend overall
allwissend omniscient
alphabet alphabet
alphabetisch alphabetically
alphanumerische alphanumeric
alptraeume nightmares
alptraum nightmare
als than
alt ancient
alter age
alternativ alternatively
alternativen alternatives
altersschwach decrepit
altklug precocious
altmodisch old-fashioned
amateur amateur
amateure amateurs
amber amber
ambindend tethering
ameise ant
ameisen ants
amerika america
amerikanische american
amethyst amethyst
amortisation amortization
amortisierte amortized
amplitude amplitude
amputieren amputate
amputierend amputating
amputiert amputates
amputierte amputated
amsel blackbird
amseln blackbirds
amtieren officiate
amtierend officiating
amtiert officiates
amtierte officiated
amtlich official
amuesieren amuse
amuesierend amusing
amuesiert amuses
amuesierte amused
an adoresbetet
